matchId,summonerId,championId,kills,deaths,assists,kda,wins,losses,played,winrate,masteryPoints,masteryLevel
2054994893,20968244,236,39,42,44,1.9761904761904763,1,5,6,0.16666666666666666,12198,3
2054994893,32650325,64,537,520,741,2.457692307692308,40,37,77,0.5194805194805194,45095,5
2054994893,32237632,4,278,340,311,1.7323529411764707,22,26,48,0.4583333333333333,29269,5
2054994893,43390686,11,1248,960,750,2.08125,67,56,123,0.5447154471544715,105146,5
2054994893,51557558,89,26,73,160,2.547945205479452,5,7,12,0.4166666666666667,8014,3
2054994893,58829109,420,380,584,678,1.8116438356164384,46,62,108,0.42592592592592593,140106,5
2054994893,38868773,222,2118,1221,2013,3.383292383292383,145,112,257,0.5642023346303502,329785,5
2054994893,36512164,45,201,174,228,2.4655172413793105,12,15,27,0.4444444444444444,19362,4
2054994964,54779554,76,53,46,52,2.282608695652174,2,4,6,0.3333333333333333,8604,3
2054994964,51941735,58,5,9,24,3.2222222222222223,1,0,1,1.0,3994,2
2054994964,47675797,64,257,181,206,2.5580110497237567,13,11,24,0.5416666666666666,31796,5
2054994964,46137973,81,42,41,76,2.8780487804878048,4,3,7,0.5714285714285714,19251,4
2054994964,37995052,412,42,132,295,2.553030303030303,10,8,18,0.5555555555555556,20445,4
2054994964,24343087,420,76,61,91,2.737704918032787,7,11,18,0.3888888888888889,11835,3
2054994964,32561810,111,4,23,38,1.826086956521739,2,2,4,0.5,18194,4
2054994964,71791348,55,54,78,81,1.7307692307692308,5,3,8,0.625,7994,3
2054994964,24965592,67,485,431,386,2.0208816705336425,20,27,47,0.425531914893617,23620,5
2054994964,47680034,120,65,51,93,3.0980392156862746,2,7,9,0.2222222222222222,11429,3
2054994984,35361576,67,91,131,125,1.6488549618320612,6,8,14,0.42857142857142855,42507,5
2054994984,53869082,25,100,331,613,2.1540785498489425,20,23,43,0.46511627906976744,13109,4
2054994984,20581935,90,977,715,897,2.620979020979021,65,69,134,0.48507462686567165,100155,5
2054994984,61927405,75,158,179,135,1.6368715083798884,19,7,26,0.7307692307692307,68225,5
2054994984,61424865,107,17,15,15,2.1333333333333333,2,0,2,1.0,36703,5
2054994984,39206325,60,23,18,31,3.0,0,2,2,0.0,8024,3
2054994984,41960467,21,1877,1261,1945,3.0309278350515463,119,78,197,0.6040609137055838,167016,5
2054994984,37456066,99,16,11,29,4.090909090909091,0,2,2,0.0,30237,5
2054994984,33987933,37,100,285,771,3.056140350877193,28,28,56,0.5,63303,5
2054994984,68759191,92,177,216,119,1.3703703703703705,7,16,23,0.30434782608695654,11990,3
2054995158,35025565,268,65,67,72,2.044776119402985,5,9,14,0.35714285714285715,8068,3
2054995158,66914928,86,116,76,122,3.1315789473684212,6,8,14,0.42857142857142855,21458,4
2054995158,35800686,81,245,202,330,2.8465346534653464,18,19,37,0.4864864864864865,24492,5
2054995158,33059765,432,63,117,295,3.0598290598290596,9,9,18,0.5,38538,5
2054995158,19945066,154,208,107,357,5.280373831775701,19,12,31,0.6129032258064516,26281,5
2054995158,51523492,54,137,81,231,4.54320987654321,16,7,23,0.6956521739130435,19473,4
2054995158,42240922,67,260,162,204,2.8641975308641974,17,19,36,0.4722222222222222,193732,5
2054995158,43480962,16,14,171,447,2.695906432748538,14,16,30,0.4666666666666667,20138,4
2054995158,31374931,64,93,89,124,2.438202247191011,7,9,16,0.4375,6515,3
2054995158,46810706,91,37,44,26,1.4318181818181819,1,2,3,0.3333333333333333,2640,2
2054995798,69031582,245,334,309,284,2.0,22,28,50,0.44,116331,5
2054995798,34790607,122,55,84,46,1.2023809523809523,0,9,9,0.0,955,1
2054995798,64140480,412,1,14,19,1.4285714285714286,0,2,2,0.0,35883,5
2054995798,49950087,236,177,131,176,2.6946564885496183,9,11,20,0.45,14770,4
2054995798,32349733,64,79,77,102,2.3506493506493507,6,5,11,0.5454545454545454,8358,3
2054995798,28767144,7,378,350,255,1.8085714285714285,21,24,45,0.4666666666666667,59480,5
2054995798,52211635,58,357,349,602,2.7478510028653296,37,35,72,0.5138888888888888,48580,5
2054995798,68983652,254,511,399,630,2.8596491228070176,40,28,68,0.5882352941176471,67735,5
2054995798,19327621,110,6,7,16,3.142857142857143,1,0,1,1.0,2640,2
2054995798,22307708,16,8,7,25,4.714285714285714,1,0,1,1.0,5579,2
2054995807,47841069,5,626,625,594,1.952,43,36,79,0.5443037974683544,66911,5
2054995807,56729317,105,179,136,124,2.2279411764705883,12,10,22,0.5454545454545454,38385,5
2054995807,45793167,21,453,276,488,3.4094202898550723,35,23,58,0.603448275862069,66199,5
2054995807,55443852,92,997,730,662,2.2726027397260276,53,67,120,0.44166666666666665,92638,5
2054995807,51849936,40,9,76,164,2.276315789473684,6,4,10,0.6,5456,2
2054995807,30836532,1,2113,1044,1522,3.481800766283525,117,95,212,0.5518867924528302,191829,5
2054995807,19139179,203,72,92,139,2.2934782608695654,7,9,16,0.4375,23786,5
2054995807,60560307,150,31,53,75,2.0,6,3,9,0.6666666666666666,18668,4
2054995807,35387137,67,119,122,129,2.0327868852459017,12,7,19,0.631578947368421,78746,5
2054995807,39762597,412,56,255,533,2.3098039215686272,12,21,33,0.36363636363636365,12058,3
2054995843,25202409,114,540,406,384,2.2758620689655173,41,28,69,0.5942028985507246,64852,5
